trips;car;workschl;size;dist;smsa;fulltime;adults;distnod;realinc;weekend
0;1;0;2;0.5384;0;0;2;11;4.5;0
0;0;0;2;0.5384;0;0;2;4.5;1.1;0
8;1;0;4;0.5384;0;1;2;4.5;2.7;0
16;1;0.375;1;0.5384;0;1;1;4.5;1.75;0
11;1;0.454545;4;2.3028;0;3;3;15.5;2.7;1
6;1;0.666667;3;2.3028;0;2;2;15.5;3.5;0
3;0;0;2;2.2979;0;1;2;50;0.9;1
3;1;0;2;2.5301;0;1;2;50;2.7;1
1;1;0;1;1.1309;0;1;1;4.5;4.5;1
0;1;0;3;1.1309;0;0;1;4.5;1.75;1
3;0;0;1;0.2348;0;0;1;1;0.5;0
2;1;0;2;0.8465;0;1;2;11;2.7;0
11;1;0;4;0.891;0;2;3;33.5;15;0
3;0;0;4;0.9681;0;0;1;15.5;0.5;0
15;1;0;4;0.891;0;1;2;11;1.75;0
3;1;0;3;1.1162;0;1;2;33.5;1.75;0
8;1;0;2;1.1162;0;1;1;11;0.9;0
6;1;0;2;1.2644;0;0;2;11;0.7;0
9;1;0.111111;4;1.3767;0;2;2;21.5;6;0
3;1;0;4;1.4126;0;3;4;15.5;2.7;0
6;1;0.333333;2;1.575;0;0;2;21.5;1.75;0
6;1;0.333333;3;1.6402;0;3;3;15.5;3.5;0
1;1;0;3;1.3447;0;0;3;4.5;0.7;0
4;1;0.5;4;4.6819;0;2;2;50;2.7;0
7;1;0.285714;3;5.3248;0;0;2;50;1.1;0
2;0;1;3;6.3567;0;0;1;50;0.2;0
0;0;0;1;7.0917;0;0;1;50;0.5;0
5;1;0.8;4;7.1986;0;1;2;50;2.7;0
3;1;0.666667;3;7.4782;0;2;3;50;1.75;0
3;1;0;2;7.4033;0;0;2;50;0.2;0
0;0;0;2;12.8052;0;0;2;50;2.7;0
0;1;0;2;1.8583;0;0;2;50;2.7;1
1;1;0;1;1.8583;0;0;1;50;0.7;1
8;1;0.25;4;14.2215;0;1;4;21.5;30;0
3;1;0.666667;2;1.6931;0;2;2;1;6;0
2;1;0;2;1.369;0;1;2;1;0.9;0
3;1;1;3;1.369;0;2;2;15.5;3.5;0
7;1;0;5;1.3661;0;1;3;1;3.5;0
13;1;0.0769231;6;1.4577;0;1;2;1;1.1;0
9;1;0.222222;6;25.2982;0;2;2;50;3.5;0
12;1;0;2;25.2982;0;0;2;33.5;1.75;0
15;1;0.266667;3;25.2982;0;2;3;21.5;1.75;0
2;1;0;2;25.2982;0;0;2;21.5;1.75;0
0;1;0;2;32.311;0;0;2;21.5;1.1;0
1;1;0;1;40.4969;0;0;1;50;0.9;0
7;1;0;2;40.4969;0;1;2;21.5;6;0
1;1;0;3;40.4969;0;1;2;21.5;3.5;0
3;1;0;1;0.9375;0;1;1;4.5;4.5;0
4;1;0;2;0.5303;0;0;2;4.5;0.7;0
0;1;0;2;0.9375;0;0;2;4.5;2.7;0
0;1;0;2;0.9375;0;0;2;4.5;0.9;0
0;1;0;1;0.9375;0;0;1;4.5;0.7;0
0;0;0;1;0.9375;0;0;1;4.5;1.1;0
0;0;0;1;0.9315;0;0;1;1;0.9;0
0;0;0;2;0.4125;0;1;2;4.5;1.1;0
6;1;0.666667;2;0.2988;0;2;2;11;3.5;0
2;1;0;2;0.2988;0;0;2;33.5;2.7;0
15;1;0;3;0.2988;0;1;3;33.5;3.5;0
0;1;0;2;0.2988;0;1;2;33.5;3.5;0
8;1;0.375;2;0.2988;0;1;1;33.5;1.1;0
6;1;0;2;0.2988;0;0;2;4.5;4.5;0
3;1;0.333333;4;0.2988;0;1;2;33.5;3.5;0
1;1;1;7;0.2988;0;2;2;33.5;3.5;0
1;1;1;1;0.2988;0;0;1;11;1.75;0
5;1;0.2;5;0.2988;0;1;3;33.5;4.5;0
12;1;0.416667;2;0.2988;0;2;2;11;3.5;0
6;1;0.166667;3;4.1772;0;0;2;15.5;0.44;0
4;1;0.75;5;3.5099;0;1;2;15.5;1.8;0
1;0;0;2;0.8613;0;0;2;1;0.28;0
6;1;0.166667;4;2.7325;0;1;2;4.5;2.4;0
8;1;0;2;3.1012;0;0;2;33.5;1.8;0
0;1;0;1;3.1012;0;0;1;4.5;1.4;0
6;1;0.833333;2;2.805;0;1;2;15.5;1.8;0
0;1;0;2;3.7698;0;0;2;15.5;0.7;0
1;1;1;2;9.245;0;1;2;50;0.44;1
8;1;0.75;2;9.2743;0;2;2;33.5;3.4;1
2;1;0;2;9.2743;0;0;2;33.5;0.44;0
8;1;0;2;9.3869;0;1;2;50;2.4;0
3;1;0;3;9.6858;0;0;2;50;0.44;0
8;1;0;4;9.7791;0;1;2;50;2.4;0
32;1;0.1875;5;2.7711;0;1;2;33.5;1.4;0
1;1;1;4;3.4592;0;1;4;21.5;1.8;0
6;1;0.333333;6;0.8608;0;2;3;1;3.4;0
2;1;0;2;1.0312;0;0;2;1;1.4;0
5;1;0.2;2;1.0939;0;1;1;1;1.08;0
6;1;0;2;1.1282;0;0;2;1;0.7;0
